row_id,path,label,class_name,official_split,source_member,source_sha256,group
0,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000000.bmp,0,canvas001,train,Outex_TC_00013/images/000000.bmp,4eb78557d1f9c4d9fa3c2a04adb45617132fee2b6d510599dd9a36c02bbe6cac,4eb78557d1f9c4d9fa3c2a04adb45617132fee2b6d510599dd9a36c02bbe6cac
1,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000001.bmp,0,canvas001,test,Outex_TC_00013/images/000001.bmp,4289ae1b78a03ebc243b1da3af9943fb06ae9574ce7c2b1f52da377cb9c080a2,4289ae1b78a03ebc243b1da3af9943fb06ae9574ce7c2b1f52da377cb9c080a2
2,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000002.bmp,0,canvas001,train,Outex_TC_00013/images/000002.bmp,6b459987b9ae765aa4776f1d7a92057ed71e75a2dacd8c5871015001bbaf9090,6b459987b9ae765aa4776f1d7a92057ed71e75a2dacd8c5871015001bbaf9090
3,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000003.bmp,0,canvas001,test,Outex_TC_00013/images/000003.bmp,6a61d813c16cf42fb5aa702e555d9c9023237ef554f19c1335e7f30d686fd495,6a61d813c16cf42fb5aa702e555d9c9023237ef554f19c1335e7f30d686fd495
4,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000004.bmp,0,canvas001,train,Outex_TC_00013/images/000004.bmp,a3aa5e0d3fb5b3131474172d68de4bc9a6b655428b9152863cc22036f24ecec4,a3aa5e0d3fb5b3131474172d68de4bc9a6b655428b9152863cc22036f24ecec4
5,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000005.bmp,0,canvas001,test,Outex_TC_00013/images/000005.bmp,69d7c91f670eaebf8ca41481881d2c083a7799493a0d4b554905a71a863c7ff5,69d7c91f670eaebf8ca41481881d2c083a7799493a0d4b554905a71a863c7ff5
6,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000006.bmp,0,canvas001,train,Outex_TC_00013/images/000006.bmp,9f0681df422661d553bfc663e9cef8ba1fd60096f34e62dfbdeda7b98a2d7db0,9f0681df422661d553bfc663e9cef8ba1fd60096f34e62dfbdeda7b98a2d7db0
7,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000007.bmp,0,canvas001,test,Outex_TC_00013/images/000007.bmp,f525ae775acebc92177add0ff6094394c9895b92bd088ca2347b946aff62dbde,f525ae775acebc92177add0ff6094394c9895b92bd088ca2347b946aff62dbde
8,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000008.bmp,0,canvas001,train,Outex_TC_00013/images/000008.bmp,c97bb0b115030d43ad8eee13e9a70a32e3245928bfbcdaeb21ae5b3a9bec5f4f,c97bb0b115030d43ad8eee13e9a70a32e3245928bfbcdaeb21ae5b3a9bec5f4f
9,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000009.bmp,0,canvas001,test,Outex_TC_00013/images/000009.bmp,db64f6765ff1c632d827cedea90fc2783b7189b7cde50c024074597780c94304,db64f6765ff1c632d827cedea90fc2783b7189b7cde50c024074597780c94304
10,/home/joaquin/tesis_claude/results/confirmatory/recovery/outex13/staging/official1360/Outex_TC_00013/images/000010.bmp,0,canvas001,train,Outex_TC_00013/images/000010.bmp,aefa95ab6e3d186df454dfde2906c47383e7ecd6f79efcee946a9ec36ed155b3,aefa95ab6e3d186df454dfde2906c47383e7ecd6f79efcee946a9ec36ed155b3
