row_id,label,group,source_path,source_sha256,official_split
0,sample01,494bf62a1cb3f899d01749dcc150805b0f1f4f278600eed9f53b4d6abe6e048d,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-02.bmp.Z,494bf62a1cb3f899d01749dcc150805b0f1f4f278600eed9f53b4d6abe6e048d,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
1,sample01,1a71c48ea1c38ca025890f039c397e862f24914adb52a73876a7c53635fdbd97,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-03.bmp.Z,1a71c48ea1c38ca025890f039c397e862f24914adb52a73876a7c53635fdbd97,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
2,sample01,8d6980c7b593924bf86f0e4f2211bfda5bb8a348517a1b52f66866bed7505d61,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-05.bmp.Z,8d6980c7b593924bf86f0e4f2211bfda5bb8a348517a1b52f66866bed7505d61,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
3,sample01,3284c926d96e6437b756dd35a4225bced8b192019c226913112bfeeeb2cc3863,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-06.bmp.Z,3284c926d96e6437b756dd35a4225bced8b192019c226913112bfeeeb2cc3863,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
4,sample01,329984c13173680e84c786bddda71327e5fe2231b88ff3f7838bbc188baa1387,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-07.bmp.Z,329984c13173680e84c786bddda71327e5fe2231b88ff3f7838bbc188baa1387,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
5,sample01,b8fbee544a531a054c460f96b5443d1cce4e708d0ad21513a6c37750e1b52b98,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-10.bmp.Z,b8fbee544a531a054c460f96b5443d1cce4e708d0ad21513a6c37750e1b52b98,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
6,sample01,9b2b5e05d573e1aff5f3aaf81104dbe10f677cc29d55260612582c229b0527eb,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-11.bmp.Z,9b2b5e05d573e1aff5f3aaf81104dbe10f677cc29d55260612582c229b0527eb,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
7,sample01,a06cccf7e326438ad7dc1f835f2964ffe409f14ad71132e28907ec3b7dfdcd01,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-14.bmp.Z,a06cccf7e326438ad7dc1f835f2964ffe409f14ad71132e28907ec3b7dfdcd01,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
8,sample01,c7380d85917cca1d9835407562367e1e1fbac7d126ad296ed6c0181f0814284d,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-15.bmp.Z,c7380d85917cca1d9835407562367e1e1fbac7d126ad296ed6c0181f0814284d,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
9,sample01,61692262694abc00dae855380316b9dccf041766bb12e37a027feb25a058a421,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-17.bmp.Z,61692262694abc00dae855380316b9dccf041766bb12e37a027feb25a058a421,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
10,sample01,1433c686a04f8ffc670cdc8d48d11e06e4537b60e4667526cd4966c8ab43542b,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-18.bmp.Z,1433c686a04f8ffc670cdc8d48d11e06e4537b60e4667526cd4966c8ab43542b,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
11,sample01,079ee59f05de20d6efea18a1fc0a8ef150133ccc1d7b1905a77dda7cce1603eb,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-20.bmp.Z,079ee59f05de20d6efea18a1fc0a8ef150133ccc1d7b1905a77dda7cce1603eb,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
12,sample01,40ff8f2e485b987e463280d33f34cecd80c5f6ee30972ee39d73a444fc80b878,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-21.bmp.Z,40ff8f2e485b987e463280d33f34cecd80c5f6ee30972ee39d73a444fc80b878,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
13,sample01,f42f71327e7c6214bce6c499707ed8f898738385c85214bf3f7e6963f85089e7,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-22.bmp.Z,f42f71327e7c6214bce6c499707ed8f898738385c85214bf3f7e6963f85089e7,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
14,sample01,8a27c96b7763128ce00e9a814414e3c4d2ec49d5fa6f4e4cbac2ba92f614a592,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-23.bmp.Z,8a27c96b7763128ce00e9a814414e3c4d2ec49d5fa6f4e4cbac2ba92f614a592,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
15,sample01,a8c810da5111a0ef34acb5c3ac8092cf05472629c217aa90785c0c5be7aa279a,data/confirmatory_sources/CUReT/extracted/data/sample01/01-01-24.bmp.Z,a8c810da5111a0ef34acb5c3ac8092cf05472629c217aa90785c0c5be7aa279a,REEXTRACT_REQUIRED_SELECT_CROPPED_92_PROTOCOL
