row_id,path,label,class_name,sha256,group
0,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_001_new.jpg,0,fabric,db937153248855736be2d50cedc4e60c486d848e5f38f0d1ffc6a881e15383a1,db937153248855736be2d50cedc4e60c486d848e5f38f0d1ffc6a881e15383a1
1,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_002_new.jpg,0,fabric,87c2433dff6b485802c64a1093c98d08483b65ab1e63ca6f4a15880a0e1a5343,87c2433dff6b485802c64a1093c98d08483b65ab1e63ca6f4a15880a0e1a5343
2,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_003_new.jpg,0,fabric,2972ae3f49abd8d30b71f264f3f259d41309a3b4dd05e5326ece977792877145,2972ae3f49abd8d30b71f264f3f259d41309a3b4dd05e5326ece977792877145
3,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_004_new.jpg,0,fabric,e80109d2e934522b41ee20e111accb461c5eebe5d5b9e6e1490deface1b5cf5c,e80109d2e934522b41ee20e111accb461c5eebe5d5b9e6e1490deface1b5cf5c
4,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_005_new.jpg,0,fabric,925410c7dbeef09c9732e028cdc802a403b5433bbafdfb117e92806197bc0103,925410c7dbeef09c9732e028cdc802a403b5433bbafdfb117e92806197bc0103
5,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_006_new.jpg,0,fabric,f62936221d0055934773dbbada0d7800a3eecd2ac5cdd50b7c01e69e48a4c345,f62936221d0055934773dbbada0d7800a3eecd2ac5cdd50b7c01e69e48a4c345
6,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_007_new.jpg,0,fabric,15348de9a9ddfb2e82f6c8c94a8e2f06a17a2d4292084dd2ce5d1bc65ccfc8dd,15348de9a9ddfb2e82f6c8c94a8e2f06a17a2d4292084dd2ce5d1bc65ccfc8dd
7,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_008_new.jpg,0,fabric,4e131646c816df52472678fc4a6c03fc328ab52fa9b3213c7f99bc9ea29a1449,4e131646c816df52472678fc4a6c03fc328ab52fa9b3213c7f99bc9ea29a1449
8,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_009_new.jpg,0,fabric,bdf13698737e2a989ee07d2926d0317791c729e7e41cb26d57a8b36d759cebfb,bdf13698737e2a989ee07d2926d0317791c729e7e41cb26d57a8b36d759cebfb
9,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_010_new.jpg,0,fabric,34fb2fdc69646b77d6802ffa7244abd11d2f6f162d2b58ec5bd69b477617e44b,34fb2fdc69646b77d6802ffa7244abd11d2f6f162d2b58ec5bd69b477617e44b
10,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_011_new.jpg,0,fabric,45d603d1ec869bc4c24061fd5d3ee488f4fb7377990715182cf40e379bc84800,45d603d1ec869bc4c24061fd5d3ee488f4fb7377990715182cf40e379bc84800
11,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_012_new.jpg,0,fabric,741eb184bef9a78cfd0d9c8e5e13a5438b40b565c18ae9b6ca5c49f546f04e5e,741eb184bef9a78cfd0d9c8e5e13a5438b40b565c18ae9b6ca5c49f546f04e5e
12,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_013_new.jpg,0,fabric,4b34f63f4408ee70f792a5b13489ef0b8bc9f48246c81c1a91cae59e54bcb024,4b34f63f4408ee70f792a5b13489ef0b8bc9f48246c81c1a91cae59e54bcb024
13,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_014_new.jpg,0,fabric,36e1bb3d1280fca8c313fe2f464fb654d0c64f06a0fb75f57f618571cc59b480,36e1bb3d1280fca8c313fe2f464fb654d0c64f06a0fb75f57f618571cc59b480
14,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_015_new.jpg,0,fabric,25f09dac4de8d573cef2d0b91f55683de39f4682997ac8e54c0f3b3fbf69be0c,25f09dac4de8d573cef2d0b91f55683de39f4682997ac8e54c0f3b3fbf69be0c
15,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_016_new.jpg,0,fabric,ec2ccaa61eb1c003d84b12b6db31d6225a6d3770ff2b09592f8e1d067754c366,ec2ccaa61eb1c003d84b12b6db31d6225a6d3770ff2b09592f8e1d067754c366
16,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_017_new.jpg,0,fabric,d41f2c7994c68c13f6075ec2d0377a71ac3815c7bb826c0c1eb9005226c52930,d41f2c7994c68c13f6075ec2d0377a71ac3815c7bb826c0c1eb9005226c52930
17,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_018_new.jpg,0,fabric,3a3c972fba1bb313816ee776c571dce1af1601feb5b9ebcc61a1817adc475811,3a3c972fba1bb313816ee776c571dce1af1601feb5b9ebcc61a1817adc475811
18,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_019_new.jpg,0,fabric,6ef09efd985f1c11b0daba9bf2e25ee74a7a80b9c41d2937954fab8a03e4090e,6ef09efd985f1c11b0daba9bf2e25ee74a7a80b9c41d2937954fab8a03e4090e
19,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_020_new.jpg,0,fabric,fe5911bfe1e42e29cd92725eba6be041d355c0deac96a0b8370c878412c41ac8,fe5911bfe1e42e29cd92725eba6be041d355c0deac96a0b8370c878412c41ac8
20,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_021_new.jpg,0,fabric,712cda8ab8676c65c73971c74732ececdae78be2b0074c39d1a28a1be322fe78,712cda8ab8676c65c73971c74732ececdae78be2b0074c39d1a28a1be322fe78
21,/home/joaquin/tesis_claude/data/confirmatory_sources/FMD/extracted/image/fabric/fabric_moderate_022_new.jpg,0,fabric,dcbb3643a8239338c575bc524310fac1b20cea0a6bfd4b89b5f500f973b1bc0c,dcbb3643a8239338c575bc524310fac1b20cea0a6bfd4b89b5f500f973b1bc0c
